date,match,matchtime,venue,result
"Apr 09, Fri","MUMBAI INDIANS vs ROYAL CHALLENGERS BANGALORE, 1st Match",7:30 PM,"MA Chidambaram Stadium, Chennai",Royal Challengers Bangalore won by 2 wkts
"Apr 10, Sat","CHENNAI SUPER KINGS vs DELHI CAPITALS, 2nd Match",7:30 PM,"Wankhede Stadium, Mumbai",Delhi Capitals won by 7 wkts
"Apr 11, Sun","SUNRISERS HYDERABAD vs KOLKATA KNIGHT RIDERS, 3rd Match",7:30 PM,"MA Chidambaram Stadium, Chennai",Kolkata Knight Riders won by 10 runs
"Apr 12, Mon","RAJASTHAN ROYALS vs PUNJAB KINGS, 4th Match",7:30 PM,"Wankhede Stadium, Mumbai",Punjab Kings won by 4 runs
"Apr 13, Tue","KOLKATA KNIGHT RIDERS vs MUMBAI INDIANS, 5th Match",7:30 PM,"MA Chidambaram Stadium, Chennai",Mumbai Indians won by 10 runs
"Apr 14, Wed","SUNRISERS HYDERABAD vs ROYAL CHALLENGERS BANGALORE, 6th Match",7:30 PM,"MA Chidambaram Stadium, Chennai",Royal Challengers Bangalore won by 6 runs
"Apr 15, Thu","RAJASTHAN ROYALS vs DELHI CAPITALS, 7th Match",7:30 PM,"Wankhede Stadium, Mumbai",Rajasthan Royals won by 3 wkts
"Apr 16, Fri","PUNJAB KINGS vs CHENNAI SUPER KINGS, 8th Match",7:30 PM,"Wankhede Stadium, Mumbai",Chennai Super Kings won by 6 wkts
"Apr 17, Sat","MUMBAI INDIANS vs SUNRISERS HYDERABAD, 9th Match",7:30 PM,"MA Chidambaram Stadium, Chennai",Mumbai Indians won by 13 runs
"Apr 18, Sun","ROYAL CHALLENGERS BANGALORE vs KOLKATA KNIGHT RIDERS, 10th Match",3:30 PM,"MA Chidambaram Stadium, Chennai",Royal Challengers Bangalore won by 38 runs
"Apr 18, Sun","DELHI CAPITALS vs PUNJAB KINGS, 11th Match",7:30 PM,"Wankhede Stadium, Mumbai",Delhi Capitals won by 6 wkts
"Apr 19, Mon","CHENNAI SUPER KINGS vs RAJASTHAN ROYALS, 12th Match",7:30 PM,"Wankhede Stadium, Mumbai",Chennai Super Kings won by 45 runs
"Apr 20, Tue","DELHI CAPITALS vs MUMBAI INDIANS, 13th Match",7:30 PM,"MA Chidambaram Stadium, Chennai",Delhi Capitals won by 6 wkts
"Apr 21, Wed","PUNJAB KINGS vs SUNRISERS HYDERABAD, 14th Match",3:30 PM,"MA Chidambaram Stadium, Chennai",Sunrisers Hyderabad won by 9 wkts
"Apr 21, Wed","KOLKATA KNIGHT RIDERS vs CHENNAI SUPER KINGS, 15th Match",7:30 PM,"Wankhede Stadium, Mumbai",Chennai Super Kings won by 18 runs
"Apr 22, Thu","ROYAL CHALLENGERS BANGALORE vs RAJASTHAN ROYALS, 16th Match",7:30 PM,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore won by 10 wkts
"Apr 23, Fri","PUNJAB KINGS vs MUMBAI INDIANS, 17th Match",7:30 PM,"MA Chidambaram Stadium, Chennai",Punjab Kings won by 9 wkts
"Apr 24, Sat","RAJASTHAN ROYALS vs KOLKATA KNIGHT RIDERS, 18th Match",7:30 PM,"Wankhede Stadium, Mumbai",Rajasthan Royals won by 6 wkts
"Apr 25, Sun","CHENNAI SUPER KINGS vs ROYAL CHALLENGERS BANGALORE, 19th Match",3:30 PM,"Wankhede Stadium, Mumbai",Chennai Super Kings won by 69 runs
"Apr 25, Sun","SUNRISERS HYDERABAD vs DELHI CAPITALS, 20th Match",7:30 PM,"MA Chidambaram Stadium, Chennai",Match tied (Delhi Capitals won the Super Over)
"Apr 26, Mon","PUNJAB KINGS vs KOLKATA KNIGHT RIDERS, 21st Match",7:30 PM,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders won by 5 wkts
"Apr 27, Tue","DELHI CAPITALS vs ROYAL CHALLENGERS BANGALORE, 22nd Match",7:30 PM,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bangalore won by 1 run
"Apr 28, Wed","CHENNAI SUPER KINGS vs SUNRISERS HYDERABAD, 23rd Match",7:30 PM,"Arun Jaitley Stadium, Delhi",Chennai Super Kings won by 7 wkts
"Apr 29, Thu","MUMBAI INDIANS vs RAJASTHAN ROYALS, 24th Match",3:30 PM,"Arun Jaitley Stadium, Delhi",Mumbai Indians won by 7 wkts
"Apr 29, Thu","DELHI CAPITALS vs KOLKATA KNIGHT RIDERS, 25th Match",7:30 PM,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals won by 7 wkts
"Apr 30, Fri","PUNJAB KINGS vs ROYAL CHALLENGERS BANGALORE, 26th Match",7:30 PM,"Narendra Modi Stadium, Ahmedabad",Punjab Kings won by 34 runs
"May 01, Sat","MUMBAI INDIANS vs CHENNAI SUPER KINGS, 27th Match",7:30 PM,"Arun Jaitley Stadium, Delhi",Mumbai Indians won by 4 wkts
"May 02, Sun","RAJASTHAN ROYALS vs SUNRISERS HYDERABAD, 28th Match",3:30 PM,"Arun Jaitley Stadium, Delhi",Rajasthan Royals won by 55 runs
"May 02, Sun","PUNJAB KINGS vs DELHI CAPITALS, 29th Match",7:30 PM,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals won by 7 wkts
"May 03, Mon","KOLKATA KNIGHT RIDERS vs ROYAL CHALLENGERS BANGALORE, 30th Match",7:30 PM,"Narendra Modi Stadium, Ahmedabad",Match rescheduled due to Covid-19 pandemic
"May 04, Tue","SUNRISERS HYDERABAD vs MUMBAI INDIANS, 31st Match",7:30 PM,"Arun Jaitley Stadium, Delhi",Match postponed due to Covid-19 pandemic
"Sep 19, Sun","CHENNAI SUPER KINGS vs MUMBAI INDIANS, 30th Match",7:30 PM,"Dubai International Cricket Stadium, Dubai",Chennai Super Kings won by 20 runs
"Sep 20, Mon","KOLKATA KNIGHT RIDERS vs ROYAL CHALLENGERS BANGALORE, 31st Match",7:30 PM,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders won by 9 wkts
